Trafikkregistreringspunkt,Vegreferanse,Navn,Felt,Til,Dato,Dag,Måned,Fra tidspunkt,Til tidspunkt,Trafikkmengde,Gyldige passeringer,Dekningsgrad,Gjennomsnittshastighet,85-fraktil,Hour,DayOfWeek,IsWeekend,DayNumber,DayOfMonth,Season
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 00:00:00+00:00,2021-01-01,Fredag,Januar,00:00:00,01:00:00,24,24,1.0,86.9,103.0,0,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 01:00:00+00:00,2021-01-01,Fredag,Januar,01:00:00,02:00:00,33,33,1.0,87.4,94.2,1,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 02:00:00+00:00,2021-01-01,Fredag,Januar,02:00:00,03:00:00,23,23,1.0,88.1,101.9,2,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 03:00:00+00:00,2021-01-01,Fredag,Januar,03:00:00,04:00:00,7,7,1.0,89.1,108.2,3,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 04:00:00+00:00,2021-01-01,Fredag,Januar,04:00:00,05:00:00,9,9,1.0,86.4,96.8,4,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 06:00:00+00:00,2021-01-01,Fredag,Januar,06:00:00,07:00:00,6,6,1.0,85.8,95.9,6,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 07:00:00+00:00,2021-01-01,Fredag,Januar,07:00:00,08:00:00,25,25,1.0,96.2,106.7,7,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 08:00:00+00:00,2021-01-01,Fredag,Januar,08:00:00,09:00:00,8,8,1.0,98.3,107.0,8,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 09:00:00+00:00,2021-01-01,Fredag,Januar,09:00:00,10:00:00,9,9,1.0,84.8,91.7,9,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 10:00:00+00:00,2021-01-01,Fredag,Januar,10:00:00,11:00:00,13,13,1.0,85.4,93.2,10,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 11:00:00+00:00,2021-01-01,Fredag,Januar,11:00:00,12:00:00,40,40,1.0,88.0,98.7,11,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 12:00:00+00:00,2021-01-01,Fredag,Januar,12:00:00,13:00:00,58,58,1.0,88.5,99.7,12,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 13:00:00+00:00,2021-01-01,Fredag,Januar,13:00:00,14:00:00,89,89,1.0,83.5,91.3,13,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 14:00:00+00:00,2021-01-01,Fredag,Januar,14:00:00,15:00:00,90,90,1.0,88.0,95.8,14,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 15:00:00+00:00,2021-01-01,Fredag,Januar,15:00:00,16:00:00,122,122,1.0,84.7,94.1,15,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 16:00:00+00:00,2021-01-01,Fredag,Januar,16:00:00,17:00:00,75,75,1.0,85.0,98.0,16,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 17:00:00+00:00,2021-01-01,Fredag,Januar,17:00:00,18:00:00,97,97,1.0,83.7,93.3,17,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 18:00:00+00:00,2021-01-01,Fredag,Januar,18:00:00,19:00:00,60,60,1.0,87.3,99.9,18,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 19:00:00+00:00,2021-01-01,Fredag,Januar,19:00:00,20:00:00,67,67,1.0,86.1,95.0,19,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 20:00:00+00:00,2021-01-01,Fredag,Januar,20:00:00,21:00:00,36,36,1.0,86.5,94.6,20,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 21:00:00+00:00,2021-01-01,Fredag,Januar,21:00:00,22:00:00,34,34,1.0,89.5,97.2,21,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 22:00:00+00:00,2021-01-01,Fredag,Januar,22:00:00,23:00:00,26,26,1.0,89.0,102.1,22,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-01 23:00:00+00:00,2021-01-01,Fredag,Januar,23:00:00,00:00:00,25,25,1.0,92.8,109.6,23,4,0,1,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 00:00:00+00:00,2021-01-02,Lørdag,Januar,00:00:00,01:00:00,12,12,1.0,92.3,112.1,0,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 02:00:00+00:00,2021-01-02,Lørdag,Januar,02:00:00,03:00:00,7,7,1.0,105.5,133.8,2,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 03:00:00+00:00,2021-01-02,Lørdag,Januar,03:00:00,04:00:00,7,7,1.0,90.3,96.5,3,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 04:00:00+00:00,2021-01-02,Lørdag,Januar,04:00:00,05:00:00,9,9,1.0,95.3,125.6,4,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 05:00:00+00:00,2021-01-02,Lørdag,Januar,05:00:00,06:00:00,5,5,1.0,89.9,99.3,5,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 06:00:00+00:00,2021-01-02,Lørdag,Januar,06:00:00,07:00:00,12,12,1.0,86.1,99.7,6,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 07:00:00+00:00,2021-01-02,Lørdag,Januar,07:00:00,08:00:00,25,25,1.0,90.3,112.3,7,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 08:00:00+00:00,2021-01-02,Lørdag,Januar,08:00:00,09:00:00,22,22,1.0,86.3,91.8,8,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 09:00:00+00:00,2021-01-02,Lørdag,Januar,09:00:00,10:00:00,58,58,1.0,86.3,97.0,9,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 10:00:00+00:00,2021-01-02,Lørdag,Januar,10:00:00,11:00:00,72,72,1.0,86.3,95.0,10,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 11:00:00+00:00,2021-01-02,Lørdag,Januar,11:00:00,12:00:00,134,134,1.0,82.5,91.0,11,5,1,2,1,Winter
79445V249004,FV64 S6D1 m6899,Fannefjordtunnelen,1,2021-01-02 12:00:00+00:00,2021-01-02,Lørdag,Januar,12:00:00,13:00:00,144,144,1.0,84.4,90.4,12,5,1,2,1,Winter
