Trafikkregistreringspunkt,Vegreferanse,Navn,Felt,Til,Dato,Dag,Måned,Fra tidspunkt,Til tidspunkt,Trafikkmengde,Gyldige passeringer,Dekningsgrad,Gjennomsnittshastighet,85-fraktil,Hour,DayOfWeek,IsWeekend,DayNumber,DayOfMonth,Season
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 00:00:00+00:00,2020-01-01,Onsdag,Januar,00:00:00,01:00:00,,,,83.9,,0,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 01:00:00+00:00,2020-01-01,Onsdag,Januar,01:00:00,02:00:00,,,,83.9,,1,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 02:00:00+00:00,2020-01-01,Onsdag,Januar,02:00:00,03:00:00,,,,83.9,,2,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 03:00:00+00:00,2020-01-01,Onsdag,Januar,03:00:00,04:00:00,0.0,0.0,1.0,83.9,,3,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 04:00:00+00:00,2020-01-01,Onsdag,Januar,04:00:00,05:00:00,0.0,0.0,1.0,83.9,,4,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 05:00:00+00:00,2020-01-01,Onsdag,Januar,05:00:00,06:00:00,0.0,0.0,1.0,83.9,,5,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 06:00:00+00:00,2020-01-01,Onsdag,Januar,06:00:00,07:00:00,0.0,0.0,1.0,83.9,,6,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 07:00:00+00:00,2020-01-01,Onsdag,Januar,07:00:00,08:00:00,0.0,0.0,1.0,83.9,,7,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 08:00:00+00:00,2020-01-01,Onsdag,Januar,08:00:00,09:00:00,1.6666666666666667,,,83.9,,8,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 09:00:00+00:00,2020-01-01,Onsdag,Januar,09:00:00,10:00:00,3.3333333333333335,,,83.9,,9,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 10:00:00+00:00,2020-01-01,Onsdag,Januar,10:00:00,11:00:00,5.0,5.0,1.0,89.5,101.1,10,2,0,1,1,Winter
16810V2195091,FV49 S4D1 m1613,JONDALSTUNNELEN,1,2020-01-01 11:00:00+00:00,2020-01-01,Onsdag,Januar,11:00:00,12:00:00,6.0,6.0,1.0,91.2,108.7,11,2,0,1,1,Winter
