Trafikkregistreringspunkt,Vegreferanse,Navn,Felt,Til,Dato,Dag,Måned,Fra tidspunkt,Til tidspunkt,Trafikkmengde,Gyldige passeringer,Dekningsgrad,Gjennomsnittshastighet,85-fraktil,Hour,DayOfWeek,IsWeekend,DayNumber,DayOfMonth,Season
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 00:00:00+00:00,2020-01-01,Onsdag,Januar,00:00:00,01:00:00,58.0,58.0,1.0,73.0,78.6,0,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 01:00:00+00:00,2020-01-01,Onsdag,Januar,01:00:00,02:00:00,50.0,50.0,1.0,75.0,83.5,1,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 02:00:00+00:00,2020-01-01,Onsdag,Januar,02:00:00,03:00:00,50.0,50.0,1.0,75.6,86.0,2,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 03:00:00+00:00,2020-01-01,Onsdag,Januar,03:00:00,04:00:00,21.0,21.0,1.0,77.8,90.8,3,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 04:00:00+00:00,2020-01-01,Onsdag,Januar,04:00:00,05:00:00,11.0,11.0,1.0,79.5,93.3,4,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 05:00:00+00:00,2020-01-01,Onsdag,Januar,05:00:00,06:00:00,8.0,8.0,1.0,75.3,87.1,5,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 06:00:00+00:00,2020-01-01,Onsdag,Januar,06:00:00,07:00:00,10.0,10.0,1.0,78.1,90.3,6,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 07:00:00+00:00,2020-01-01,Onsdag,Januar,07:00:00,08:00:00,10.0,10.0,1.0,74.2,81.3,7,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 08:00:00+00:00,2020-01-01,Onsdag,Januar,08:00:00,09:00:00,11.0,11.0,1.0,76.4,79.5,8,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 09:00:00+00:00,2020-01-01,Onsdag,Januar,09:00:00,10:00:00,10.0,10.0,1.0,72.4,81.6,9,2,0,1,1,Winter
19529V225821,FV64 S8D1 m538,Tussentunnelen,1,2020-01-01 10:00:00+00:00,2020-01-01,Onsdag,Januar,10:00:00,11:00:00,16.0,16.0,1.0,75.9,80.1,10,2,0,1,1,Winter
